개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,주소,구정보,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3220000,3220000-102-2000-21430,2000-03-18,,1,영업/정상,1,영업,,,,,,473.85,135-917,서울특별시 강남구 역삼동 688-6 지하1층,강남구,6144,오스카,2025-03-04 12:55,U,06:00.0,룸살롱,203516.5912,444995.0189,,,,,,,,,,,,,,,,,,,
3090000,3090000-102-2007-00004,2007-12-20,,1,영업/정상,1,영업,,,,,02  991 1808,93.75,132-898,서울특별시 도봉구 창동 13,도봉구,1414,부킹,2025-03-17 15:38,U,09:00.0,룸살롱,204317.2649,461224.0141,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2001-23481,2001-05-12,,1,영업/정상,1,영업,,,,,02 567 7488,1233.83,135-839,서울특별시 강남구 대치동 890-38 지하1층,강남구,6193,사라있네,2025-03-07 18:30,U,09:00.0,룸살롱,204647.4212,444687.5061,,,,,,,,,,,,,,,,,,,
3230000,3230000-102-2014-00005,2014-11-28,,1,영업/정상,1,영업,,,,,,99.76,138-805,서울특별시 송파구 가락동 99-1 지하1층,송파구,5719,루키,2025-03-10 9:30,U,02:00.0,룸살롱,210491.6889,443508.2212,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2015-00003,2015-10-22,,1,영업/정상,1,영업,,,,,226993777,121.44,157-909,서울특별시 강서구 화곡동 903-10 2층,강서구,7778,승리노래바,2025-03-11 8:58,U,04:00.0,룸살롱,186437.39,447472.6707,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2015-00004,2015-10-22,,1,영업/정상,1,영업,,,,,,121.44,157-909,서울특별시 강서구 화곡동 903-10 3층,강서구,7778,수노래바,2025-03-10 11:22,U,04:00.0,룸살롱,186437.39,447472.6707,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2009-00002,2009-08-05,,1,영업/정상,1,영업,,,,,7081810041,86.8,157-909,서울특별시 강서구 화곡동 898-1 화곡 심포니 타워 2층 203호,강서구,7778,사거리 노래바,2025-03-10 9:06,U,04:00.0,룸살롱,186424.3917,447580.5448,,,,,,,,,,,,,,,,,,,
3010000,3010000-102-2004-00016,2004-11-12,,1,영업/정상,1,영업,,,,,222695901,93.6,100-300,서울특별시 중구 초동 70-4 (지상3층),중구,4555,마른42 (Marun42),2025-03-12 14:33,U,04:00.0,기타,199263.8038,451326.7212,,,,,,,,,,,,,,,,,,,
3210000,3210000-102-1990-06487,1990-04-20,,1,영업/정상,1,영업,,,,,02592 5444,1019.25,137-856,"서울특별시 서초구 서초동 1308-4 실버타운오피스텔 지하중1층, 지하1",서초구,6612,토요일 토요일은 가요다,2025-03-12 16:48,U,04:00.0,고고(디스코)클럽,202123.7691,444374.6408,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2009-00004,2009-02-24,,1,영업/정상,1,영업,,,,,,499.32,135-923,서울특별시 강남구 역삼동 735-32 지하1층,강남구,6235,에이원,2025-03-19 16:32,U,01:00.0,룸살롱,202949.8532,444097.8551,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2019-00004,2019-10-23,,1,영업/정상,1,영업,,,,,,87.48,157-910,서울특별시 강서구 화곡동 915-10 지하 1층,강서구,7776,루비,2025-03-24 9:26,U,07:00.0,룸살롱,186140.5639,447451.0515,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2009-00002,2009-02-16,,1,영업/정상,1,영업,,,,,5666651,760.23,135-934,"서울특별시 강남구 역삼동 824-7 지하1층, 지상2층",강남구,6233,도깨비,2025-03-25 14:56,U,07:00.0,룸살롱,202621.0869,443960.2502,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2009-00003,2009-02-16,,1,영업/정상,1,영업,,,,,02  558 5835,321.99,135-934,서울특별시 강남구 역삼동 824-7 지상3층,강남구,6233,도깨비,2025-03-25 15:01,U,07:00.0,룸살롱,202621.0869,443960.2502,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2001-10867,2001-04-07,,1,영업/정상,1,영업,,,,,02 8745637,66.81,151-892,서울특별시 관악구 신림동 1433-109,관악구,8759,피아노,2025-03-25 16:22,U,07:00.0,룸살롱,193465.7061,442500.7107,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2016-00005,2016-09-05,,1,영업/정상,1,영업,,,,,02 8827331,53.44,151-930,서울특별시 관악구 신림동 1641-11 지하1층,관악구,8777,라운딩,2025-03-31 15:25,U,02:00.0,룸살롱,193758.6726,442324.492,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2015-00002,2015-10-05,,1,영업/정상,1,영업,,,,,,97,157-910,서울특별시 강서구 화곡동 936-4 지하 1층,강서구,7775,명품노래바,2025-03-31 10:22,U,02:00.0,룸살롱,185799.5271,447417.8899,,,,,,,,,,,,,,,,,,,
3210000,3210000-102-1992-06376,1992-01-30,,1,영업/정상,1,영업,,,,,02587 8883,440.48,137-858,서울특별시 서초구 서초동 1330-15,서초구,6626,B11 (비일일),2025-03-05 16:05,U,07:00.0,룸살롱,202453.7135,443491.2009,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2016-00006,2016-09-01,,1,영업/정상,1,영업,,,,,,502.65,135-513,서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티 ,강남구,6152,더,2023-03-22 15:49,U,40:00.0,룸살롱,203716.9381,444579.034,룸살롱,0,0,,,,0,0,0,0,0,,0,0,N,502.65,,,
3200000,3200000-102-2002-00015,2002-10-24,,1,영업/정상,1,영업,,,,,02 877 1320,81.54,151-809,서울특별시 관악구 봉천동 62-3 지하 1층,관악구,8737,도레미노래뱅크,2025-03-06 14:29,U,08:00.0,룸살롱,195907.7682,442331.4168,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2001-11339,2001-11-01,,1,영업/정상,1,영업,,,,,02  877 0166,71.86,151-892,서울특별시 관악구 신림동 1431-10 화산빌딩,관악구,8760,레몬노래빠,2025-03-06 14:21,U,08:00.0,룸살롱,193646.5607,442722.6122,,,,,,,,,,,,,,,,,,,
3240000,3240000-102-1999-10594,1999-05-15,,1,영업/정상,1,영업,,,,,02 4872184,360.07,134-814,서울특별시 강동구 길동 412-12 부에노빌딩,강동구,5353,무지개,2025-03-06 11:12,U,08:00.0,룸살롱,212215.3783,448196.8547,,,,,,,,,,,,,,,,,,,
3240000,3240000-102-1990-05556,1990-05-22,,1,영업/정상,1,영업,,,,,02 4864214,284.35,134-845,서울특별시 강동구 성내동 417-5,강동구,5404,발리7080라이브,2025-03-06 14:38,U,08:00.0,비어(바)살롱,211855.0418,447431.5868,,,,,,,,,,,,,,,,,,,
3120000,3120000-102-2011-00001,2011-05-11,,1,영업/정상,1,영업,,,,,02  354 6979,233.85,120-833,서울특별시 서대문구 창천동 29-30 용성빌딩 4층 전체 외 1필지(29-111),서대문구,3779,연인노래타운,2025-03-19 15:10,U,02:00.0,기타,194441.0658,450526.8653,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2015-00003,2015-07-31,,1,영업/정상,1,영업,,,,,,817.77,135-932,서울특별시 강남구 역삼동 819-9 ,강남구,6134,Alvin Avenue(엘빈 에비뉴),2023-01-18 15:28,U,40:00.0,기타,202451.743,444092.8755,기타,0,0,,,,0,0,0,0,0,,0,0,Y,817.77,,,
3220000,3220000-102-2015-00004,2015-08-03,,1,영업/정상,1,영업,,,,,,173.24,135-821,서울특별시 강남구 논현동 115-12번지 지하1층 ,강남구,6061,랩(LAB),2020-05-25 12:32,U,40:00.0,룸살롱,203085.6753,445978.5599,룸살롱,,,기타,,상수도전용,,,,,,,,,N,173.24,,,
3220000,3220000-102-2015-00006,2015-12-02,,1,영업/정상,1,영업,,,,,02  518 0444,286.58,135-897,서울특별시 강남구 신사동 652-14 지하1층 ,강남구,6019,아이디,2024-06-07 10:43,U,40:00.0,룸살롱,203300.7159,446789.6508,룸살롱,0,0,,,,0,0,0,0,0,,0,0,N,286.58,,,
3000000,3000000-102-1984-11439,1984-09-08,,1,영업/정상,1,영업,,,,,,67.75,110-320,서울특별시 종로구 낙원동 179 (지하1층) ,종로구,3139,화화,2023-01-13 10:59,U,40:00.0,스텐드바,199006.8372,452085.9644,스텐드바,0,0,기타,갑,상수도전용,0,0,0,0,0,,0,0,Y,67.75,,,
3000000,3000000-102-1985-08261,1985-01-22,,1,영업/정상,1,영업,,,,,02 7423076,112.6,110-320,서울특별시 종로구 낙원동 93번지 ,종로구,3133,허리우드,2020-04-07 12:43,U,40:00.0,스텐드바,198921.3164,452310.2563,스텐드바,2,3,기타,갑,상수도전용,,,,,,,,,N,112.6,,,
3000000,3000000-102-1999-10266,1999-04-23,,1,영업/정상,1,영업,,,,,222699119,31.2,110-836,서울특별시 종로구 종로5가 231-16번지 ,종로구,3197,자몽,2019-03-21 10:25,U,40:00.0,룸살롱,200299.3989,452034.8321,룸살롱,0,0,기타,기타,상수도전용,,,,,,,,,N,31.2,,,
3000000,3000000-102-1999-10220,1999-05-14,,1,영업/정상,1,영업,,,,,222521244,,110-825,서울특별시 종로구 숭인동 201-25번지 (지하1층) ,종로구,3115,지중해,2013-06-04 14:43,I,59:59.0,룸살롱,201778.6965,452392.6422,룸살롱,,,,,,,,,,,,,,N,97.97,,,
3000000,3000000-102-1975-08233,1975-01-14,,1,영업/정상,1,영업,,,,,02 7207333,,110-111,서울특별시 종로구 관철동 43-12번지 ,종로구,3189,보신각,2013-05-31 16:14,I,59:59.0,고고(디스코)클럽,198527.7502,451865.1264,고고(디스코)클럽,4,2,기타,갑,상수도전용,,,,,,,,,N,157.64,,,
3000000,3000000-102-1975-08329,1975-08-13,,1,영업/정상,1,영업,,,,,02 7330816,,110-290,서울특별시 종로구 인사동 35-0번지 ,종로구,,호림,2002-12-03 0:00,I,59:59.0,요정,198786.5802,452227.0653,요정,4,6,유흥업소밀집지역,갑,상수도전용,,,,,,,,,N,145.7,,,
3000000,3000000-102-2013-00005,2013-06-07,,1,영업/정상,1,영업,,,,,,,110-826,서울특별시 종로구 숭인동 207-30번지 지하1층 ,종로구,3115,앵콜 노래왕,2014-12-23 15:53,I,59:59.0,룸살롱,201684.943,452360.6714,룸살롱,,,학교정화(상대),,상수도전용,,,,,,,,,N,130.14,,,
3000000,3000000-102-2013-00006,2013-07-25,,1,영업/정상,1,영업,,,,,,,110-470,서울특별시 종로구 연지동 275-1번지 ,종로구,3129,일번지 노래카페,2013-10-04 14:41,I,59:59.0,룸살롱,200056.5101,452135.1011,룸살롱,,,학교정화(상대),,상수도전용,,,,,,,,,Y,92.19,,,
3000000,3000000-102-2014-00001,2014-04-21,,1,영업/정상,1,영업,,,,,,17.11,110-851,서울특별시 종로구 효제동 245-21번지 지상1층 ,종로구,3126,불새,2020-03-10 10:18,U,40:00.0,요정,200203.2473,452144.9723,요정,,,,,,,,,,,,,,N,17.11,,,
3000000,3000000-102-1985-08282,1985-08-28,,1,영업/정상,1,영업,,,,,207324842,,110-170,서울특별시 종로구 견지동 110-13번지 ,종로구,,야시,2001-11-20 0:00,I,59:59.0,비어(바)살롱,,,비어(바)살롱,2,2,기타,갑,상수도전용,,,,,,,,,N,78.76,,,
3000000,3000000-102-1989-08279,1989-10-27,,1,영업/정상,1,영업,,,,,02  720 2951,90.8,110-111,서울특별시 종로구 관철동 44-3 ,종로구,3189,더 찬스,2022-07-26 17:30,U,40:00.0,룸살롱,198504.4024,451896.9556,룸살롱,,,,,,,,,,,,,,N,90.8,,,
3000000,3000000-102-2014-00002,2014-06-19,,1,영업/정상,1,영업,,,,,02  743 4882,,110-850,서울특별시 종로구 효제동 155번지 지하1층 ,종로구,3126,최고,2014-06-19 14:36,I,59:59.0,룸살롱,200279.4576,452261.3876,룸살롱,,,학교정화(상대),,상수도전용,,,,,,,,,N,105,,,
3000000,3000000-102-2014-00003,2014-07-01,,1,영업/정상,1,영업,,,,,02  764 5528,,110-840,서울특별시 종로구 창신동 174-1번지 지상2층 ,종로구,3105,스케치 7080 노래주점,2014-07-01 11:20,I,59:59.0,간이주점,201114.0514,452258.9218,간이주점,,,기타,기타,상수도전용,,,,,,,,,Y,99,,,
3000000,3000000-102-2014-00004,2014-07-16,,1,영업/정상,1,영업,,,,,,168.3,110-807,서울특별시 종로구 돈의동 50 지하1층 ,종로구,3133,반반2,2023-03-22 14:11,U,40:00.0,기타,199121.5529,452271.9045,기타,0,0,,,,0,0,0,0,0,,0,0,N,168.3,,,
3000000,3000000-102-2014-00005,2014-11-25,,1,영업/정상,1,영업,,,,,,,110-470,서울특별시 종로구 연지동 255번지 지하1층 ,종로구,3129,야구장,2017-01-02 17:42,I,59:59.0,룸살롱,199926.1344,452184.8234,룸살롱,,,학교정화(상대),기타,상수도전용,,,,,,,,,Y,113.98,,,
3000000,3000000-102-2014-00006,2014-12-22,,1,영업/정상,1,영업,,,,,,105.73,110-410,서울특별시 종로구 인의동 73 지하1층 ,종로구,3136,쑤니,2024-10-16 11:08,U,40:00.0,룸살롱,199697.0972,452368.8203,룸살롱,0,0,유흥업소밀집지역,우수,상수도전용,0,0,0,0,0,,0,0,Y,105.73,,,
3000000,3000000-102-2015-00001,2015-02-26,,1,영업/정상,1,영업,,,,,,122.39,110-835,서울특별시 종로구 종로5가 4-1 지상2층 ,종로구,3126,노블레스,2021-04-06 11:22,U,40:00.0,룸살롱,200464.0085,452120.6723,룸살롱,,,학교정화(상대),,상수도전용,,,,,,,,,Y,122.39,,,
3000000,3000000-102-2015-00002,2015-02-26,,1,영업/정상,1,영업,,,,,,114.76,110-835,서울특별시 종로구 종로5가 4-1 1층 ,종로구,3126,선물,2021-11-23 14:54,U,40:00.0,기타,200464.0085,452120.6723,기타,0,0,,,,0,0,0,0,0,,0,0,N,114.76,,,
3000000,3000000-102-2015-00003,2015-06-30,,1,영업/정상,1,영업,,,,,,179.04,110-470,서울특별시 종로구 연지동 254-1 지하1층 ,종로구,3129,와우노래팡,2023-06-20 15:20,U,40:00.0,노래클럽,199913.7364,452181.5739,노래클럽,0,0,,,,0,0,0,0,0,,0,0,N,179.04,,,
3000000,3000000-102-2016-00001,2016-02-16,,1,영업/정상,1,영업,,,,,,78,110-853,서울특별시 종로구 종로4가 8 2층 ,종로구,3130,야구장,2021-06-02 14:28,U,40:00.0,룸살롱,199870.0803,452092.1833,룸살롱,,,기타,기타,상수도전용,,,,,,,,,N,78,,,
3000000,3000000-102-2016-00002,2016-02-17,,1,영업/정상,1,영업,,,,,,,110-853,서울특별시 종로구 종로4가 8번지 2층 ,종로구,3130,골프장,2016-12-22 10:03,I,59:59.0,룸살롱,199870.0803,452092.1833,룸살롱,,,기타,,상수도전용,,,,,,,,,N,70,,,
3000000,3000000-102-2017-00001,2017-02-16,,1,영업/정상,1,영업,,,,,02  745 4450,132.13,110-807,서울특별시 종로구 돈의동 50번지 1층 ,종로구,3133,반반,2018-12-06 15:44,U,40:00.0,간이주점,199121.5529,452271.9045,간이주점,,,,,상수도전용,,,,,,,,,Y,132.13,,,
3000000,3000000-102-2017-00002,2017-07-07,,1,영업/정상,1,영업,,,,,,,110-842,서울특별시 종로구 창신동 446-5번지 2층 ,종로구,3119,똥광 노래타운,2017-07-07 13:44,I,59:59.0,룸살롱,200876.5078,452049.012,룸살롱,,,,,,,,,,,,,,Y,95.14,,,
3000000,3000000-102-2017-00003,2017-12-27,,1,영업/정상,1,영업,,,,,,103.1,110-123,서울특별시 종로구 종로3가 157 ,종로구,3193,인스타,2023-03-28 11:40,U,40:00.0,룸살롱,199377.6691,451982.4196,룸살롱,,,기타,,,,,,,,,,,N,103.1,,,
3000000,3000000-102-2018-00001,2018-01-10,,1,영업/정상,1,영업,,,,,,118.75,110-320,서울특별시 종로구 낙원동 121-1 ,종로구,3133,테라,2022-08-24 10:57,U,40:00.0,간이주점,199024.1578,452271.4133,간이주점,0,0,,,,0,0,0,0,0,,0,0,Y,118.75,,,
3000000,3000000-102-2005-00009,2005-10-05,,1,영업/정상,1,영업,,,,,,91.19,110-836,서울특별시 종로구 종로5가 244 지상2층 ,종로구,3197,인스타노래,2022-12-30 13:29,U,40:00.0,룸살롱,200389.376,452056.4266,룸살롱,,,,,,,,,,,,,,N,91.19,,,
3000000,3000000-102-2005-00012,2005-12-23,,1,영업/정상,1,영업,,,,,,,110-450,서울특별시 종로구 원남동 177-1번지 지하층 ,종로구,3136,지중해`궁,2011-05-16 17:55,I,59:59.0,룸살롱,199642.7162,452606.6144,룸살롱,,,,,,,,,,,,,,N,98.94,,,
3000000,3000000-102-1967-10359,1967-01-13,,1,영업/정상,1,영업,,,,,,700.21,110-111,"서울특별시 종로구 관철동 32-4번지 지하 1층(관철동 32-4,7) ",종로구,3189,18번가 가요리믹스,2020-05-18 18:22,U,40:00.0,고고(디스코)클럽,198635.6889,451847.2821,고고(디스코)클럽,,,,,,,,,,,,,,N,700.21,,,
3000000,3000000-102-1972-08325,1972-04-05,,1,영업/정상,1,영업,,,,,02 7633630,,110-840,서울특별시 종로구 창신동 293-5번지 ,종로구,3104,신성,2003-05-14 0:00,I,59:59.0,요정,201256.2397,452309.2961,요정,0,0,기타,갑,상수도전용,,,,,,,,,N,150.55,,,
3000000,3000000-102-2010-00006,2010-04-28,,1,영업/정상,1,영업,,,,,,88.26,110-470,서울특별시 종로구 연지동 246 지하 1층 ,종로구,3129,스타노래팡,2021-06-08 17:06,U,40:00.0,룸살롱,199904.4739,452205.363,룸살롱,,,,,,,,,,,,,,N,88.26,,,
3000000,3000000-102-2010-00007,2010-07-30,,1,영업/정상,1,영업,,,,,02  747 9955,99.17,110-835,서울특별시 종로구 종로5가 38-1 지상1층 ,종로구,3126,단밤,2022-04-26 16:07,U,40:00.0,룸살롱,200263.9717,452127.9204,룸살롱,,,학교정화(상대),,,,,,,,,,,N,99.17,,,
3000000,3000000-102-2006-00011,2006-04-10,,1,영업/정상,1,영업,,,,,02  7431205,,110-835,서울특별시 종로구 종로5가 20-1번지 지하1층 ,종로구,3126,콘서트,2017-05-26 10:07,I,59:59.0,룸살롱,200363.2178,452115.1902,룸살롱,0,0,,,,,,,,,,,,N,147.37,,,
3000000,3000000-102-2006-00007,2006-04-26,,1,영업/정상,1,영업,,,,,222538858,228.54,110-825,서울특별시 종로구 숭인동 200-33 지하1층 ,종로구,3115,발리노래팡,2023-02-22 14:50,U,40:00.0,룸살롱,201687.5739,452408.3468,룸살롱,0,0,기타,,,,,,,,,,,N,228.54,,,
3000000,3000000-102-2007-00001,2007-01-23,,1,영업/정상,1,영업,,,,,7374234,,110-071,서울특별시 종로구 당주동 18번지 지상3층 ,종로구,3183,첼로노래나라,2008-06-02 16:21,I,59:59.0,기타,197745.0045,452127.2441,기타,,,,,,,,,,,,,,N,89.03,,,
3000000,3000000-102-2007-00002,2007-01-25,,1,영업/정상,1,영업,,,,,02 7208356,,110-130,서울특별시 종로구 청진동 183-1번지 지하1층 ,종로구,3156,야호,2015-11-09 11:47,I,59:59.0,룸살롱,198117.3796,452161.2329,룸살롱,,,기타,,상수도전용,,,,,,,,,N,83.01,,,
3000000,3000000-102-2007-00003,2007-03-06,,1,영업/정상,1,영업,,,,,232160006,,110-846,서울특별시 종로구 평창동 66-50번지 동화킴스관광호텔 지하1층 ,종로구,,킴스노래주점,2011-02-07 16:05,I,59:59.0,룸살롱,197733.3918,456346.8474,룸살롱,0,0,기타,,상수도전용,,,,,,,,,N,116.46,,,
