,지역,예측시간,혼잡도,예측최소인구,예측최대인구,시간,시간대
0,강남 MICE 관광특구,2025-04-15 18:00,보통,16000,18000,18,저녁
1,강남 MICE 관광특구,2025-04-15 19:00,여유,14000,16000,19,저녁
2,강남 MICE 관광특구,2025-04-15 20:00,여유,10000,12000,20,저녁
3,강남 MICE 관광특구,2025-04-15 21:00,여유,9000,9500,21,밤
4,동대문 관광특구,2025-04-15 18:00,약간 붐빔,22000,24000,18,저녁
5,동대문 관광특구,2025-04-15 19:00,약간 붐빔,22000,24000,19,저녁
6,동대문 관광특구,2025-04-15 20:00,약간 붐빔,20000,22000,20,저녁
7,동대문 관광특구,2025-04-15 21:00,약간 붐빔,20000,22000,21,밤
8,명동 관광특구,2025-04-15 18:00,약간 붐빔,64000,66000,18,저녁
9,명동 관광특구,2025-04-15 19:00,보통,54000,56000,19,저녁
10,명동 관광특구,2025-04-15 20:00,여유,38000,40000,20,저녁
11,명동 관광특구,2025-04-15 21:00,여유,26000,28000,21,밤
12,이태원 관광특구,2025-04-15 18:00,보통,9500,10000,18,저녁
13,이태원 관광특구,2025-04-15 19:00,보통,9000,9500,19,저녁
14,이태원 관광특구,2025-04-15 20:00,보통,8500,9000,20,저녁
15,이태원 관광특구,2025-04-15 21:00,여유,7000,7500,21,밤
16,잠실 관광특구,2025-04-15 18:00,보통,56000,58000,18,저녁
17,잠실 관광특구,2025-04-15 19:00,보통,54000,56000,19,저녁
18,잠실 관광특구,2025-04-15 20:00,보통,50000,52000,20,저녁
19,잠실 관광특구,2025-04-15 21:00,여유,44000,46000,21,밤
20,종로·청계 관광특구,2025-04-15 18:00,약간 붐빔,34000,36000,18,저녁
21,종로·청계 관광특구,2025-04-15 19:00,보통,32000,34000,19,저녁
22,종로·청계 관광특구,2025-04-15 20:00,보통,24000,26000,20,저녁
23,종로·청계 관광특구,2025-04-15 21:00,여유,20000,22000,21,밤
24,홍대 관광특구,2025-04-15 18:00,보통,60000,62000,18,저녁
25,홍대 관광특구,2025-04-15 19:00,보통,64000,66000,19,저녁
26,홍대 관광특구,2025-04-15 20:00,보통,62000,64000,20,저녁
27,홍대 관광특구,2025-04-15 21:00,보통,54000,56000,21,밤
28,경복궁,2025-04-15 18:00,여유,1000,1500,18,저녁
29,경복궁,2025-04-15 19:00,여유,1000,1500,19,저녁
30,경복궁,2025-04-15 20:00,여유,800,900,20,저녁
31,경복궁,2025-04-15 21:00,여유,700,800,21,밤
32,광화문·덕수궁,2025-04-15 18:00,약간 붐빔,34000,36000,18,저녁
33,광화문·덕수궁,2025-04-15 19:00,보통,32000,34000,19,저녁
34,광화문·덕수궁,2025-04-15 20:00,여유,20000,22000,20,저녁
35,광화문·덕수궁,2025-04-15 21:00,여유,16000,18000,21,밤
36,보신각,2025-04-15 18:00,약간 붐빔,12000,14000,18,저녁
37,보신각,2025-04-15 19:00,약간 붐빔,10000,12000,19,저녁
38,보신각,2025-04-15 20:00,보통,10000,12000,20,저녁
39,보신각,2025-04-15 21:00,여유,7500,8000,21,밤
40,서울 암사동 유적,2025-04-15 18:00,보통,300,400,18,저녁
41,서울 암사동 유적,2025-04-15 19:00,여유,300,400,19,저녁
42,서울 암사동 유적,2025-04-15 20:00,여유,200,300,20,저녁
43,서울 암사동 유적,2025-04-15 21:00,여유,100,200,21,밤
44,창덕궁·종묘,2025-04-15 18:00,약간 붐빔,12000,14000,18,저녁
45,창덕궁·종묘,2025-04-15 19:00,보통,10000,12000,19,저녁
46,창덕궁·종묘,2025-04-15 20:00,여유,8000,8500,20,저녁
47,창덕궁·종묘,2025-04-15 21:00,여유,6500,7000,21,밤
48,가산디지털단지역,2025-04-15 18:00,붐빔,46000,48000,18,저녁
49,가산디지털단지역,2025-04-15 19:00,붐빔,40000,42000,19,저녁
50,가산디지털단지역,2025-04-15 20:00,보통,26000,28000,20,저녁
51,가산디지털단지역,2025-04-15 21:00,여유,16000,18000,21,밤
52,강남역,2025-04-15 18:00,약간 붐빔,70000,72000,18,저녁
53,강남역,2025-04-15 19:00,약간 붐빔,76000,78000,19,저녁
54,강남역,2025-04-15 20:00,약간 붐빔,62000,64000,20,저녁
55,강남역,2025-04-15 21:00,보통,52000,54000,21,밤
56,건대입구역,2025-04-15 18:00,여유,26000,28000,18,저녁
57,건대입구역,2025-04-15 19:00,보통,30000,32000,19,저녁
58,건대입구역,2025-04-15 20:00,약간 붐빔,30000,32000,20,저녁
59,건대입구역,2025-04-15 21:00,보통,28000,30000,21,밤
60,고덕역,2025-04-15 18:00,보통,4500,5000,18,저녁
61,고덕역,2025-04-15 19:00,보통,4500,5000,19,저녁
62,고덕역,2025-04-15 20:00,보통,4500,5000,20,저녁
63,고덕역,2025-04-15 21:00,보통,5000,5500,21,밤
64,고속터미널역,2025-04-15 18:00,보통,16000,18000,18,저녁
65,고속터미널역,2025-04-15 19:00,보통,16000,18000,19,저녁
66,고속터미널역,2025-04-15 20:00,보통,14000,16000,20,저녁
67,고속터미널역,2025-04-15 21:00,여유,9500,10000,21,밤
68,교대역,2025-04-15 18:00,붐빔,24000,26000,18,저녁
69,교대역,2025-04-15 19:00,붐빔,24000,26000,19,저녁
70,교대역,2025-04-15 20:00,약간 붐빔,18000,20000,20,저녁
71,교대역,2025-04-15 21:00,보통,14000,16000,21,밤
72,구로디지털단지역,2025-04-15 18:00,붐빔,36000,38000,18,저녁
73,구로디지털단지역,2025-04-15 19:00,약간 붐빔,32000,34000,19,저녁
74,구로디지털단지역,2025-04-15 20:00,보통,20000,22000,20,저녁
75,구로디지털단지역,2025-04-15 21:00,여유,14000,16000,21,밤
76,구로역,2025-04-15 18:00,보통,5500,6000,18,저녁
77,구로역,2025-04-15 19:00,약간 붐빔,6500,7000,19,저녁
78,구로역,2025-04-15 20:00,보통,5500,6000,20,저녁
79,구로역,2025-04-15 21:00,여유,4500,5000,21,밤
80,군자역,2025-04-15 18:00,약간 붐빔,10000,12000,18,저녁
81,군자역,2025-04-15 19:00,약간 붐빔,12000,14000,19,저녁
82,군자역,2025-04-15 20:00,약간 붐빔,12000,14000,20,저녁
83,군자역,2025-04-15 21:00,보통,10000,12000,21,밤
84,남구로역,2025-04-15 18:00,여유,3000,3500,18,저녁
85,남구로역,2025-04-15 19:00,여유,3500,4000,19,저녁
86,남구로역,2025-04-15 20:00,여유,3500,4000,20,저녁
87,남구로역,2025-04-15 21:00,여유,3500,4000,21,밤
88,대림역,2025-04-15 18:00,보통,14000,16000,18,저녁
89,대림역,2025-04-15 19:00,약간 붐빔,16000,18000,19,저녁
90,대림역,2025-04-15 20:00,붐빔,18000,20000,20,저녁
91,대림역,2025-04-15 21:00,붐빔,16000,18000,21,밤
92,동대문역,2025-04-15 18:00,약간 붐빔,7500,8000,18,저녁
93,동대문역,2025-04-15 19:00,약간 붐빔,6500,7000,19,저녁
94,동대문역,2025-04-15 20:00,보통,5000,5500,20,저녁
95,동대문역,2025-04-15 21:00,여유,3500,4000,21,밤
96,뚝섬역,2025-04-15 18:00,보통,12000,14000,18,저녁
97,뚝섬역,2025-04-15 19:00,보통,12000,14000,19,저녁
98,뚝섬역,2025-04-15 20:00,여유,10000,12000,20,저녁
99,뚝섬역,2025-04-15 21:00,여유,9500,10000,21,밤
100,미아사거리역,2025-04-15 18:00,보통,9500,10000,18,저녁
101,미아사거리역,2025-04-15 19:00,약간 붐빔,10000,12000,19,저녁
102,미아사거리역,2025-04-15 20:00,보통,10000,12000,20,저녁
103,미아사거리역,2025-04-15 21:00,보통,8500,9000,21,밤
104,발산역,2025-04-15 18:00,약간 붐빔,12000,14000,18,저녁
105,발산역,2025-04-15 19:00,약간 붐빔,14000,16000,19,저녁
106,발산역,2025-04-15 20:00,약간 붐빔,14000,16000,20,저녁
107,발산역,2025-04-15 21:00,약간 붐빔,12000,14000,21,밤
108,북한산우이역,2025-04-15 18:00,붐빔,1500,2000,18,저녁
109,북한산우이역,2025-04-15 19:00,붐빔,1500,2000,19,저녁
110,북한산우이역,2025-04-15 20:00,약간 붐빔,1000,1500,20,저녁
111,북한산우이역,2025-04-15 21:00,보통,1000,1500,21,밤
112,사당역,2025-04-15 18:00,보통,26000,28000,18,저녁
113,사당역,2025-04-15 19:00,붐빔,32000,34000,19,저녁
114,사당역,2025-04-15 20:00,약간 붐빔,30000,32000,20,저녁
115,사당역,2025-04-15 21:00,보통,26000,28000,21,밤
116,삼각지역,2025-04-15 18:00,붐빔,3000,3500,18,저녁
117,삼각지역,2025-04-15 19:00,붐빔,3000,3500,19,저녁
118,삼각지역,2025-04-15 20:00,붐빔,2500,3000,20,저녁
119,삼각지역,2025-04-15 21:00,약간 붐빔,2500,3000,21,밤
120,서울대입구역,2025-04-15 18:00,보통,20000,22000,18,저녁
121,서울대입구역,2025-04-15 19:00,보통,20000,22000,19,저녁
122,서울대입구역,2025-04-15 20:00,보통,22000,24000,20,저녁
123,서울대입구역,2025-04-15 21:00,보통,22000,24000,21,밤
124,서울식물원·마곡나루역,2025-04-15 18:00,보통,8000,8500,18,저녁
125,서울식물원·마곡나루역,2025-04-15 19:00,여유,7000,7500,19,저녁
126,서울식물원·마곡나루역,2025-04-15 20:00,여유,6500,7000,20,저녁
127,서울식물원·마곡나루역,2025-04-15 21:00,여유,6000,6500,21,밤
128,서울역,2025-04-15 18:00,약간 붐빔,22000,24000,18,저녁
129,서울역,2025-04-15 19:00,보통,16000,18000,19,저녁
130,서울역,2025-04-15 20:00,여유,9500,10000,20,저녁
131,서울역,2025-04-15 21:00,여유,6000,6500,21,밤
132,선릉역,2025-04-15 18:00,붐빔,58000,60000,18,저녁
133,선릉역,2025-04-15 19:00,약간 붐빔,52000,54000,19,저녁
134,선릉역,2025-04-15 20:00,보통,38000,40000,20,저녁
135,선릉역,2025-04-15 21:00,여유,30000,32000,21,밤
136,성신여대입구역,2025-04-15 18:00,보통,6500,7000,18,저녁
137,성신여대입구역,2025-04-15 19:00,약간 붐빔,8500,9000,19,저녁
138,성신여대입구역,2025-04-15 20:00,약간 붐빔,8000,8500,20,저녁
139,성신여대입구역,2025-04-15 21:00,보통,6500,7000,21,밤
140,수유역,2025-04-15 18:00,보통,10000,12000,18,저녁
141,수유역,2025-04-15 19:00,보통,10000,12000,19,저녁
142,수유역,2025-04-15 20:00,보통,10000,12000,20,저녁
143,수유역,2025-04-15 21:00,보통,10000,12000,21,밤
144,신논현역·논현역,2025-04-15 18:00,붐빔,14000,16000,18,저녁
145,신논현역·논현역,2025-04-15 19:00,붐빔,14000,16000,19,저녁
146,신논현역·논현역,2025-04-15 20:00,약간 붐빔,14000,16000,20,저녁
147,신논현역·논현역,2025-04-15 21:00,약간 붐빔,10000,12000,21,밤
148,신도림역,2025-04-15 18:00,여유,8000,8500,18,저녁
149,신도림역,2025-04-15 19:00,여유,8500,9000,19,저녁
150,신도림역,2025-04-15 20:00,여유,7000,7500,20,저녁
151,신도림역,2025-04-15 21:00,여유,6500,7000,21,밤
152,신림역,2025-04-15 18:00,보통,12000,14000,18,저녁
153,신림역,2025-04-15 19:00,약간 붐빔,14000,16000,19,저녁
154,신림역,2025-04-15 20:00,약간 붐빔,14000,16000,20,저녁
155,신림역,2025-04-15 21:00,약간 붐빔,14000,16000,21,밤
156,신촌·이대역,2025-04-15 18:00,약간 붐빔,34000,36000,18,저녁
157,신촌·이대역,2025-04-15 19:00,붐빔,40000,42000,19,저녁
158,신촌·이대역,2025-04-15 20:00,붐빔,40000,42000,20,저녁
159,신촌·이대역,2025-04-15 21:00,보통,32000,34000,21,밤
160,양재역,2025-04-15 18:00,약간 붐빔,16000,18000,18,저녁
161,양재역,2025-04-15 19:00,약간 붐빔,16000,18000,19,저녁
162,양재역,2025-04-15 20:00,여유,12000,14000,20,저녁
163,양재역,2025-04-15 21:00,여유,10000,12000,21,밤
164,역삼역,2025-04-15 18:00,붐빔,38000,40000,18,저녁
165,역삼역,2025-04-15 19:00,붐빔,34000,36000,19,저녁
166,역삼역,2025-04-15 20:00,보통,24000,26000,20,저녁
167,역삼역,2025-04-15 21:00,여유,18000,20000,21,밤
168,연신내역,2025-04-15 18:00,보통,8500,9000,18,저녁
169,연신내역,2025-04-15 19:00,약간 붐빔,9500,10000,19,저녁
170,연신내역,2025-04-15 20:00,약간 붐빔,9500,10000,20,저녁
171,연신내역,2025-04-15 21:00,보통,8000,8500,21,밤
172,오목교역·목동운동장,2025-04-15 18:00,보통,50000,52000,18,저녁
173,오목교역·목동운동장,2025-04-15 19:00,약간 붐빔,56000,58000,19,저녁
174,오목교역·목동운동장,2025-04-15 20:00,약간 붐빔,54000,56000,20,저녁
175,오목교역·목동운동장,2025-04-15 21:00,약간 붐빔,52000,54000,21,밤
176,왕십리역,2025-04-15 18:00,여유,16000,18000,18,저녁
177,왕십리역,2025-04-15 19:00,약간 붐빔,20000,22000,19,저녁
178,왕십리역,2025-04-15 20:00,붐빔,22000,24000,20,저녁
179,왕십리역,2025-04-15 21:00,보통,18000,20000,21,밤
180,용산역,2025-04-15 18:00,보통,16000,18000,18,저녁
181,용산역,2025-04-15 19:00,보통,16000,18000,19,저녁
182,용산역,2025-04-15 20:00,여유,12000,14000,20,저녁
183,용산역,2025-04-15 21:00,여유,9000,9500,21,밤
184,이태원역,2025-04-15 18:00,여유,3000,3500,18,저녁
185,이태원역,2025-04-15 19:00,보통,3500,4000,19,저녁
186,이태원역,2025-04-15 20:00,보통,3500,4000,20,저녁
187,이태원역,2025-04-15 21:00,여유,3000,3500,21,밤
188,장지역,2025-04-15 18:00,약간 붐빔,18000,20000,18,저녁
189,장지역,2025-04-15 19:00,약간 붐빔,18000,20000,19,저녁
190,장지역,2025-04-15 20:00,보통,16000,18000,20,저녁
191,장지역,2025-04-15 21:00,여유,16000,18000,21,밤
192,장한평역,2025-04-15 18:00,붐빔,16000,18000,18,저녁
193,장한평역,2025-04-15 19:00,붐빔,16000,18000,19,저녁
194,장한평역,2025-04-15 20:00,약간 붐빔,14000,16000,20,저녁
195,장한평역,2025-04-15 21:00,보통,14000,16000,21,밤
196,천호역,2025-04-15 18:00,보통,7500,8000,18,저녁
197,천호역,2025-04-15 19:00,약간 붐빔,8500,9000,19,저녁
198,천호역,2025-04-15 20:00,보통,7500,8000,20,저녁
199,천호역,2025-04-15 21:00,여유,6000,6500,21,밤
200,총신대입구(이수)역,2025-04-15 18:00,여유,20000,22000,18,저녁
201,총신대입구(이수)역,2025-04-15 19:00,보통,22000,24000,19,저녁
202,총신대입구(이수)역,2025-04-15 20:00,약간 붐빔,24000,26000,20,저녁
203,총신대입구(이수)역,2025-04-15 21:00,보통,22000,24000,21,밤
204,충정로역,2025-04-15 18:00,붐빔,20000,22000,18,저녁
205,충정로역,2025-04-15 19:00,붐빔,16000,18000,19,저녁
206,충정로역,2025-04-15 20:00,보통,10000,12000,20,저녁
207,충정로역,2025-04-15 21:00,여유,7500,8000,21,밤
208,합정역,2025-04-15 18:00,약간 붐빔,14000,16000,18,저녁
209,합정역,2025-04-15 19:00,약간 붐빔,16000,18000,19,저녁
210,합정역,2025-04-15 20:00,약간 붐빔,16000,18000,20,저녁
211,합정역,2025-04-15 21:00,약간 붐빔,14000,16000,21,밤
212,혜화역,2025-04-15 18:00,보통,10000,12000,18,저녁
213,혜화역,2025-04-15 19:00,보통,12000,14000,19,저녁
214,혜화역,2025-04-15 20:00,보통,12000,14000,20,저녁
215,혜화역,2025-04-15 21:00,보통,10000,12000,21,밤
216,홍대입구역(2호선),2025-04-15 18:00,약간 붐빔,20000,22000,18,저녁
217,홍대입구역(2호선),2025-04-15 19:00,약간 붐빔,20000,22000,19,저녁
218,홍대입구역(2호선),2025-04-15 20:00,보통,18000,20000,20,저녁
219,홍대입구역(2호선),2025-04-15 21:00,보통,16000,18000,21,밤
220,회기역,2025-04-15 18:00,보통,10000,12000,18,저녁
221,회기역,2025-04-15 19:00,약간 붐빔,12000,14000,19,저녁
222,회기역,2025-04-15 20:00,약간 붐빔,12000,14000,20,저녁
223,회기역,2025-04-15 21:00,보통,10000,12000,21,밤
224,4·19 카페거리,2025-04-15 18:00,여유,900,1000,18,저녁
225,4·19 카페거리,2025-04-15 19:00,여유,900,1000,19,저녁
226,4·19 카페거리,2025-04-15 20:00,여유,900,1000,20,저녁
